"Site_ID","Percent_Bleaching","Temperature_Mean","Turbidity","Cyclone_Frequency","Ecoregion_Name","Distance_to_Shore"
8984,"75","299.45","0.1780",57.06,"Bahamas and Florida Keys","4419.2"
8985,"75","299.76","0.2015",59.52,"Bahamas and Florida Keys","245.29"
9157,"75","299.87","0.0506",62.59,"Bahamas and Florida Keys","7007.57"
9158,"75","299.77","0.1703",62.54,"Bahamas and Florida Keys","4984.45"
9159,"75","299.76","0.1546",55.99,"Bahamas and Florida Keys","5863.07"
9173,"75","299.85","0.0999",57.13,"Bahamas and Florida Keys","8860.29"
9197,"75","299.8","0.1646",58.42,"Bahamas and Florida Keys","7204.55"
9080,"15","299.87","0.0506",62.59,"Bahamas and Florida Keys","7213.47"
9245,"15","299.89","0.0881",61.18,"Bahamas and Florida Keys","6511.05"
9081,"15.4","299.86","0.0881",61.18,"Bahamas and Florida Keys","5164.2"
9082,"15.4","299.75","0.0473",56.97,"Bahamas and Florida Keys","1638.61"
9083,"15.4","299.76","0.0447",52.57,"Bahamas and Florida Keys","837.54"
8585,"15.6","299.74","0.0452",56.97,"Bahamas and Florida Keys","1838.43"
8885,"15.6","299.85","0.1210",57.81,"Bahamas and Florida Keys","7720.89"
9084,"15.9","299.82","0.0881",61.18,"Bahamas and Florida Keys","5753.05"
8886,"16.1","299.82","0.1564",58.42,"Bahamas and Florida Keys","4975.91"
9085,"16.1","299.76","0.1116",56.58,"Bahamas and Florida Keys","4978.21"
8887,"16.7","299.78","0.0586",56.58,"Bahamas and Florida Keys","7909.09"
9086,"16.7","299.89","0.1528",59.52,"Bahamas and Florida Keys","6536.79"
9087,"16.7","299.82","0.0434",63.75,"Bahamas and Florida Keys","779.11"
8854,"16.9","299.9","0.0527",60.51,"Bahamas and Florida Keys","9953.16"
1280,"17","300.17","0.1075",54.98,"Bahamas and Florida Keys","214.75"
9088,"17","299.63","0.1306",56.55,"Bahamas and Florida Keys","4383.95"
9090,"17.5","299.67","0.0445",50.74,"Bahamas and Florida Keys","449.64"
8888,"17.7","299.91","0.0608",57.28,"Bahamas and Florida Keys","7350.35"
8889,"17.9","299.75","0.1562",58.42,"Bahamas and Florida Keys","3820.02"
1340,"18.2","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
9091,"18.2","299.04","0.1193",57.69,"Bahamas and Florida Keys","1205.78"
8907,"18.4","299.04","0.1193",57.69,"Bahamas and Florida Keys","1218.23"
9092,"18.4","299.86","0.0617",58.42,"Bahamas and Florida Keys","8604.33"
9093,"18.5","299.8","0.1711",60.51,"Bahamas and Florida Keys","5346.53"
9094,"18.8","299.84","0.0571",56.58,"Bahamas and Florida Keys","10128.39"
1333,"18.9","299.82","0.0423",51.1,"Bahamas and Florida Keys","76.94"
8890,"18.9","299.8","0.1203",58.42,"Bahamas and Florida Keys","6765.3"
